,album_name,album_img,album_release_date,album_popularity,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,track_popularity
1,Pornography,https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1,1982-05-03,34,One Hundred Years - Remastered Version,0.436,0.881,G,-5.998,major,0.0439,0.00123,0.509,0.108,0.262,132.59,4,401000,33
2,Pornography,https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1,1982-05-03,34,A Short Term Effect - Remastered Version,0.516,0.836,C,-5.872,major,0.0319,0.00171,0.165,0.136,0.649,116.566,4,262493,28
3,Pornography,https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1,1982-05-03,34,The Hanging Garden - Remastered Version,0.42,0.889,C,-5.86,major,0.0393,0.00402,0.488,0.0795,0.634,135.421,4,274240,35
4,Pornography,https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1,1982-05-03,34,Siamese Twins - Remastered Version,0.772,0.523,D,-9.788,major,0.0364,0.000298,0.795,0.282,0.752,94.194,4,328360,34
5,Pornography,https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1,1982-05-03,34,The Figurehead - Remastered Version,0.655,0.842,A#,-5.349,minor,0.0264,0.00125,0.642,0.11,0.727,110.37,4,375173,28
6,Pornography,https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1,1982-05-03,34,A Strange Day - Remastered Version,0.603,0.964,A,-7.245,minor,0.043,0.000109,0.0801,0.119,0.564,112.798,4,303960,31
7,Pornography,https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1,1982-05-03,34,Cold - Remastered Version,0.473,0.832,A#,-5.841,minor,0.0283,0.0916,0.498,0.101,0.238,100.881,4,266573,31
8,Pornography,https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1,1982-05-03,34,Pornography - Remastered Version,0.423,0.829,A#,-9.534,major,0.0739,0.435,0.53,0.517,0.205,123.997,4,387867,25
9,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,Shake Dog Shake - Remastered,0.353,0.914,C,-5.474,major,0.0438,0.0114,0.0119,0.321,0.158,166.084,4,296387,22
10,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,Birdmad Girl - Remastered,0.76,0.798,B,-8.482,minor,0.0332,0.00272,2.00E-04,0.0753,0.818,119.77,4,245413,20
11,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,Wailing Wall - Remastered,0.414,0.693,D#,-10.718,major,0.0427,0.0583,0.439,0.574,0.475,175.172,4,323173,16
12,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,Give Me It - Remastered,0.468,0.973,B,-6.793,minor,0.161,3.00E-05,0.401,0.364,0.129,136.677,4,222760,16
13,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,Dressing Up - Remastered,0.59,0.605,E,-6.677,minor,0.0368,0.342,0.000114,0.109,0.503,80.009,4,171373,20
14,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,The Caterpillar - Remastered Version,0.745,0.813,D,-8.313,major,0.0361,0.207,0.000503,0.437,0.87,123.883,4,221747,35
15,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,Piggy In The Mirror - Remastered,0.678,0.775,A,-6.143,minor,0.0374,0.145,0,0.281,0.616,81.935,4,219920,20
16,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,The Empty World - Remastered,0.637,0.585,A,-7.066,minor,0.0233,0.171,0.00571,0.32,0.769,93.872,4,155893,16
17,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,Bananafishbones - Remastered,0.567,0.827,B,-7.163,minor,0.0552,0.0994,0.00123,0.219,0.527,151.953,4,179693,19
18,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,The Top - Remastered,0.848,0.539,C,-11.376,major,0.051,0.0509,0.227,0.29,0.133,128.105,4,418040,16
19,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,You Stayed [RS Home Demo 8/82],0.547,0.638,E,-8.534,minor,0.0314,0.00997,0.832,0.116,0.84,92.513,4,140467,12
20,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,Ariel [RS Home Demo 8/82],0.492,0.517,E,-9.824,major,0.0334,0.395,0.0698,0.271,0.501,144.213,4,178667,11
21,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,A Hand Inside My Mouth [Des Dames Studio Demo 8/83],0.503,0.581,C#,-8.35,major,0.0324,0.218,0.4,0.139,0.502,126.632,4,219667,10
22,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,Sadacic [Olympic Studio RS Demo 12/83],0.473,0.9,C,-6.568,major,0.049,9.92E-05,0.581,0.238,0.617,128.099,4,255293,10
23,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,Shake Dog Shake [Garden /Eden Studios RS&AA Demo 12/83],0.334,0.806,C,-7.664,minor,0.0443,0.000753,0.611,0.258,0.226,164.832,4,295280,10
24,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,Piggy In The Mirror [Garden /Eden Studios RS&AA Demo 12/83],0.628,0.571,A,-7.893,major,0.0236,0.0566,0.0762,0.128,0.336,81.502,4,219440,10
25,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,Birdmad Girl [Garden /Eden Studios RS&AA Demo 12/83],0.806,0.598,F#,-11.357,minor,0.0457,0.0383,0.849,0.0829,0.842,118.712,4,215213,9
26,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,Give Me It [Garden /Eden Studios RS&AA Demo 12/83],0.547,0.968,D,-5.663,major,0.0729,7.83E-05,0.0606,0.416,0.345,135.241,4,222027,8
27,The Top,https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4,1984-04-30,28,Throw Your Foot [Garden /Eden Studios RS&AA Demo 12/83],0.733,0.754,B,-8.262,minor,0.0403,0.0111,0.212,0.222,0.944,147.172,4,209227,11
